room_id,size,price,hotel_fk,room_number
1,1 bed,3856,15,29
2,2 beds,3553,2,30
3,3 beds,3547,25,7
4,2 beds,1386,7,7
5,3 beds,2449,11,39
6,3 beds,696,1,34
7,1 bed,1769,1,34
8,2 beds,4132,16,10
9,3 beds,2356,22,11
10,2 beds,3976,25,21
11,3 beds,1564,23,2
12,2 beds,3447,21,8
13,2 beds,1797,8,18
14,1 bed,3636,4,18
15,1 bed,853,6,18
16,3 beds,3740,12,28
17,1 bed,3455,23,36
18,2 beds,959,19,21
19,3 beds,4300,23,25
20,1 bed,2042,8,22
21,3 beds,1163,19,6
22,1 bed,1750,9,39
23,1 bed,2422,9,37
24,3 beds,1743,3,35
25,1 bed,2108,20,25
26,1 bed,506,20,2
27,3 beds,3801,11,17
28,2 beds,3811,8,18
29,2 beds,4262,4,37
30,2 beds,4458,20,17
31,2 beds,4349,1,23
32,1 bed,2473,5,35
33,1 bed,1256,1,9
34,1 bed,1266,12,26
35,2 beds,3657,16,29
36,3 beds,2602,16,11
37,3 beds,2659,9,9
38,3 beds,1911,3,10
39,3 beds,2208,14,18
40,2 beds,2603,2,3
41,3 beds,508,7,19
42,2 beds,2571,22,10
43,2 beds,4469,24,40
44,2 beds,983,12,35
45,1 bed,555,19,28
46,2 beds,2963,1,24
47,3 beds,4364,22,39
48,1 bed,1999,23,27
49,3 beds,2227,7,38
50,2 beds,4296,1,9
51,3 beds,2649,15,19
52,2 beds,1759,4,13
53,1 bed,3282,24,13
54,2 beds,935,5,36
55,2 beds,1499,21,28
56,2 beds,1414,3,23
57,2 beds,3046,7,28
58,2 beds,2477,20,2
59,2 beds,1042,9,30
60,3 beds,1147,19,40
61,1 bed,563,5,36
62,3 beds,3944,19,9
63,1 bed,1899,8,21
64,1 bed,1256,1,28
65,3 beds,3876,10,1
66,3 beds,3237,4,36
67,2 beds,3010,2,36
68,2 beds,2404,3,32
69,3 beds,1708,22,7
70,1 bed,4247,17,40
71,1 bed,1611,17,31
72,2 beds,3805,16,19
73,1 bed,3865,19,22
74,1 bed,4471,4,23
75,1 bed,4230,8,11
76,1 bed,3943,15,7
77,1 bed,4024,6,5
78,3 beds,1047,3,13
79,2 beds,3252,18,2
80,1 bed,2512,4,6
81,3 beds,4137,6,6
82,2 beds,1278,23,38
83,1 bed,1464,25,14
84,3 beds,2312,2,10
85,2 beds,2429,16,20
86,1 bed,682,9,6
87,3 beds,808,17,5
88,1 bed,1175,10,7
89,1 bed,2987,4,3
90,1 bed,1948,3,33
91,1 bed,3615,8,29
92,3 beds,1184,20,6
93,3 beds,1208,11,24
94,2 beds,3639,22,1
95,1 bed,2592,17,5
96,1 bed,2204,2,31
97,1 bed,1111,10,4
98,1 bed,2122,8,32
99,2 beds,1569,14,40
100,2 beds,3285,14,19
101,3 beds,2993,18,33
102,3 beds,1451,8,6
103,1 bed,2472,2,32
104,1 bed,2273,20,2
105,2 beds,987,13,14
106,3 beds,833,13,24
107,1 bed,3927,10,20
108,3 beds,2293,23,34
109,3 beds,2347,15,7
110,3 beds,1376,12,1
111,2 beds,3611,10,26
112,1 bed,2465,12,1
113,1 bed,2072,15,26
114,3 beds,1500,2,17
115,2 beds,617,18,9
116,2 beds,4209,1,14
117,2 beds,1055,1,37
118,3 beds,719,3,4
119,1 bed,1489,20,15
120,1 bed,3010,17,18
121,1 bed,734,24,40
122,3 beds,4448,22,8
123,3 beds,1824,8,10
124,3 beds,4180,7,38
125,1 bed,1036,3,39
126,1 bed,4056,9,3
127,2 beds,1259,12,25
128,1 bed,2381,22,14
129,2 beds,4022,7,14
130,2 beds,732,13,23
131,1 bed,787,12,13
132,2 beds,3555,5,3
133,2 beds,2319,23,11
134,2 beds,1077,14,5
135,1 bed,2567,24,2
136,3 beds,4073,25,15
137,2 beds,1081,7,30
138,2 beds,3420,8,29
139,1 bed,2500,19,19
140,3 beds,785,4,40
141,3 beds,1414,22,38
142,1 bed,3042,20,37
143,2 beds,2872,11,5
144,2 beds,1698,23,31
145,3 beds,3909,20,39
146,1 bed,1338,23,31
147,3 beds,2176,16,14
148,3 beds,2173,24,29
149,1 bed,3358,4,7
150,3 beds,2377,5,10
151,1 bed,1705,22,21
152,3 beds,3478,12,25
153,2 beds,3971,11,5
154,2 beds,3071,5,31
155,1 bed,3511,1,33
156,1 bed,1413,9,38
157,1 bed,4295,5,3
158,2 beds,2626,3,4
159,3 beds,3575,20,39
160,3 beds,3279,22,10
161,3 beds,2508,11,37
162,2 beds,2283,19,31
163,3 beds,1004,13,5
164,1 bed,4272,7,13
165,2 beds,3528,17,4
166,3 beds,784,20,25
167,2 beds,771,14,11
168,3 beds,1453,19,18
169,1 bed,1660,13,32
170,1 bed,1223,24,6
171,3 beds,1423,6,36
172,3 beds,1298,3,40
173,1 bed,3579,10,2
174,3 beds,2030,25,15
175,2 beds,1700,12,1
176,2 beds,1462,3,12
177,1 bed,802,6,15
178,1 bed,1484,12,34
179,1 bed,1136,5,33
180,2 beds,2084,4,27
181,2 beds,3505,17,20
182,1 bed,2281,20,25
183,1 bed,2455,25,22
184,1 bed,3335,19,34
185,3 beds,1665,24,21
186,2 beds,1790,3,14
187,3 beds,4004,8,18
188,3 beds,1463,24,18
189,3 beds,4337,25,33
190,1 bed,2740,20,1
191,3 beds,2938,7,19
192,2 beds,983,15,34
193,3 beds,2693,1,21
194,1 bed,2708,6,7
195,3 beds,4162,8,16
196,3 beds,1021,13,31
197,1 bed,4303,3,30
198,3 beds,4491,17,28
199,1 bed,2017,3,16
200,3 beds,1179,21,33
201,3 beds,1633,15,32
202,1 bed,630,7,33
203,3 beds,1013,1,38
204,2 beds,3455,24,27
205,1 bed,1559,8,23
206,2 beds,2551,4,35
207,1 bed,4495,23,38
208,1 bed,2479,3,7
209,3 beds,3303,25,25
210,2 beds,3888,8,15
211,3 beds,1049,10,24
212,1 bed,583,25,3
213,2 beds,3783,12,38
214,1 bed,2552,25,17
215,3 beds,1317,23,28
216,2 beds,2063,3,40
217,2 beds,1833,2,38
218,2 beds,2122,18,20
219,1 bed,1274,11,2
220,2 beds,583,16,9
221,1 bed,3607,14,27
222,3 beds,2819,12,11
223,1 bed,661,22,4
224,1 bed,4217,19,13
225,3 beds,3909,17,9
226,1 bed,1846,10,21
227,1 bed,3227,2,32
228,3 beds,1868,15,28
229,2 beds,1324,7,17
230,1 bed,3841,19,26
231,2 beds,3220,22,12
232,2 beds,3624,8,34
233,3 beds,3964,14,29
234,2 beds,2652,24,27
235,1 bed,2830,14,40
236,2 beds,2188,16,3
237,2 beds,1623,3,37
238,2 beds,774,3,3
239,1 bed,1198,16,7
240,2 beds,3050,6,9
241,1 bed,1064,16,8
242,1 bed,1552,6,40
243,2 beds,3615,13,27
244,3 beds,4253,18,13
245,1 bed,4479,18,29
246,2 beds,614,11,7
247,2 beds,1199,1,1
248,3 beds,972,12,19
249,2 beds,3912,6,38
250,1 bed,3511,17,36
